<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
06.09.2018,104370,104380,104370,104380
06.09.2018,104380,104400,104350,104400
06.09.2018,104400,104400,104400,104400
06.09.2018,104400,104400,104400,104400
06.09.2018,104380,104380,104380,104380
06.09.2018,104370,104370,104370,104370
06.09.2018,104400,104400,104400,104400
06.09.2018,104420,104420,104420,104420
06.09.2018,104440,104450,104440,104450
06.09.2018,104510,104510,104500,104500
06.09.2018,104530,104530,104500,104500
06.09.2018,104500,104500,104480,104480
06.09.2018,104430,104430,104430,104430
06.09.2018,104490,104490,104490,104490
06.09.2018,104590,104610,104590,104610
06.09.2018,104600,104600,104590,104590
06.09.2018,104650,104700,104650,104700
06.09.2018,104650,104650,104650,104650
06.09.2018,104520,104520,104520,104520
06.09.2018,104550,104550,104550,104550
06.09.2018,104500,104500,104500,104500
06.09.2018,104450,104450,104450,104450
06.09.2018,104420,104420,104420,104420
06.09.2018,104430,104430,104430,104430
06.09.2018,104450,104450,104450,104450
06.09.2018,104530,104530,104530,104530
06.09.2018,104480,104480,104480,104480
06.09.2018,104500,104500,104500,104500
06.09.2018,104510,104510,104510,104510
06.09.2018,104540,104540,104540,104540
06.09.2018,104600,104600,104600,104600
06.09.2018,104650,104650,104650,104650
06.09.2018,104720,104720,104720,104720
06.09.2018,104700,104700,104630,104630
06.09.2018,104630,104630,104620,104620
06.09.2018,104700,104700,104700,104700
06.09.2018,104690,104690,104690,104690
06.09.2018,104600,104600,104600,104600
06.09.2018,104560,104560,104560,104560
06.09.2018,104500,104500,104500,104500
06.09.2018,104570,104570,104570,104570
06.09.2018,104590,104640,104590,104640
06.09.2018,104620,104620,104620,104620
06.09.2018,104590,104590,104590,104590
06.09.2018,104700,104700,104700,104700
06.09.2018,104750,104780,104730,104770
06.09.2018,104710,104710,104710,104710
06.09.2018,104650,104650,104650,104650
06.09.2018,104650,104650,104650,104650
06.09.2018,104640,104650,104640,104650
06.09.2018,104690,104740,104690,104740
06.09.2018,104730,104730,104730,104730
06.09.2018,104700,104710,104700,104710
06.09.2018,104740,104740,104740,104740
06.09.2018,104680,104680,104680,104680
06.09.2018,104680,104680,104680,104680
06.09.2018,104600,104600,104600,104600
06.09.2018,104580,104580,104580,104580
06.09.2018,104640,104640,104640,104640
08.10.2018,116270,116270,115030,115120
08.10.2018,115140,115140,114870,114950
08.10.2018,114950,114990,114860,114930
08.10.2018,114930,114960,114810,114890
08.10.2018,114890,114950,114760,114940
08.10.2018,114940,114950,114770,114860
08.10.2018,114850,114890,114770,114820
08.10.2018,114850,114910,114800,114880
08.10.2018,114880,114950,114850,114910
08.10.2018,114900,114950,114800,114810
08.10.2018,114820,114920,114780,114890
08.10.2018,114890,114950,114880,114940
08.10.2018,114920,114940,114850,114890
08.10.2018,114890,114900,114710,114730
08.10.2018,114730,114730,114460,114490
08.10.2018,114480,114710,114420,114700
08.10.2018,114700,114720,114530,114540
08.10.2018,114530,114570,114420,114560
08.10.2018,114570,114630,114550,114560
08.10.2018,114570,114650,114480,114640
08.10.2018,114640,114650,114580,114620
08.10.2018,114610,114720,114580,114690
08.10.2018,114690,114780,114680,114740
08.10.2018,114730,114740,114680,114680
08.10.2018,114690,114770,114690,114740
08.10.2018,114730,114760,114710,114710
08.10.2018,114710,114720,114660,114690
08.10.2018,114690,114690,114520,114560
08.10.2018,114570,114680,114570,114670
08.10.2018,114670,114730,114650,114670
08.10.2018,114670,114680,114620,114660
08.10.2018,114650,114760,114640,114740
08.10.2018,114740,114830,114730,114800
08.10.2018,114800,114980,114790,114970
08.10.2018,114950,114980,114850,114940
08.10.2018,114950,114970,114860,114940
08.10.2018,114950,115040,114950,115000
08.10.2018,115000,115000,114860,114890
08.10.2018,114890,114920,114840,114900
08.10.2018,114910,114920,114820,114850
08.10.2018,114850,114960,114830,114890
08.10.2018,114890,114890,114820,114840
08.10.2018,114850,114890,114800,114820
08.10.2018,114830,114840,114740,114790
08.10.2018,114790,114840,114760,114770
08.10.2018,114790,114790,114720,114780
08.10.2018,114780,114850,114780,114820
08.10.2018,114810,114850,114790,114810
08.10.2018,114820,114850,114790,114840
08.10.2018,114830,114840,114780,114780
08.10.2018,114770,114810,114750,114790
08.10.2018,114790,114840,114770,114820
08.10.2018,114800,114820,114780,114800
08.10.2018,114810,114850,114780,114780
08.10.2018,114780,114830,114780,114790
08.10.2018,114800,114820,114670,114710
08.10.2018,114720,114780,114700,114730
08.10.2018,114730,114730,114620,114670
08.10.2018,114670,114710,114650,114670
08.10.2018,114680,114730,114660,114690
08.10.2018,114700,114720,114640,114650
08.10.2018,114650,114790,114610,114760
08.10.2018,114760,114810,114730,114780
08.10.2018,114780,114870,114770,114820
08.10.2018,114810,114860,114800,114830
08.10.2018,114830,114870,114780,114790
08.10.2018,114780,114830,114750,114790
08.10.2018,114790,114800,114500,114510
08.10.2018,114510,114630,114500,114600
08.10.2018,114600,114650,114570,114570
08.10.2018,114570,114600,114520,114520
08.10.2018,114520,114670,114510,114660
08.10.2018,114670,114750,114630,114750
08.10.2018,114760,114800,114730,114790
08.10.2018,114800,114840,114780,114800
08.10.2018,114800,114800,114610,114630
08.10.2018,114640,114720,114640,114710
08.10.2018,114710,114710,114610,114630
08.10.2018,114620,114660,114560,114620
08.10.2018,114610,114700,114600,114680
08.10.2018,114670,114700,114640,114690
08.10.2018,114670,114690,114620,114680
08.10.2018,114680,114700,114590,114620
08.10.2018,114620,114620,114560,114560
08.10.2018,114570,114580,114440,114500
08.10.2018,114500,114500,114370,114400
08.10.2018,114400,114540,114390,114530
08.10.2018,114500,114510,114450,114490
08.10.2018,114490,114540,114480,114530
08.10.2018,114520,114610,114510,114560
08.10.2018,114560,114580,114440,114470
08.10.2018,114470,114490,114420,114480
08.10.2018,114490,114530,114460,114510
08.10.2018,114510,114510,114420,114450
08.10.2018,114440,114440,114380,114390
08.10.2018,114390,114440,114380,114400
08.10.2018,114400,114440,114380,114420
08.10.2018,114420,114460,114390,114460
08.10.2018,114450,114470,114430,114450
08.10.2018,114450,114520,114440,114510
08.10.2018,114500,114510,114470,114470
08.10.2018,114480,114490,114400,114420
08.10.2018,114420,114460,114410,114450
08.10.2018,114430,114460,114390,114460
08.10.2018,114450,114450,114400,114410
08.10.2018,114410,114430,114380,114410
08.10.2018,114420,114440,114390,114420
08.10.2018,114420,114420,114320,114360
08.10.2018,114370,114470,114360,114450
08.10.2018,114450,114550,114410,114510
08.10.2018,114500,114580,114490,114500
08.10.2018,114490,114550,114480,114550
08.10.2018,114540,114570,114490,114530
08.10.2018,114530,114540,114460,114520
08.10.2018,114520,114600,114510,114590
08.10.2018,114580,114670,114570,114600
08.10.2018,114590,114590,114530,114540
08.10.2018,114530,114570,114490,114550
08.10.2018,114540,114580,114520,114520
08.10.2018,114510,114530,114480,114520
08.10.2018,114510,114560,114500,114510
08.10.2018,114500,114550,114500,114550
08.10.2018,114550,114590,114530,114540
08.10.2018,114560,114630,114560,114630
08.10.2018,114630,114660,114600,114600
